stage,config,axis,prer,r,postr,label,model,device,dim,weights,MRR,MRR_prompted,Hit@1,Hit@5,File@5,accuracy,judge_similarity,judge_correctness,judge_completeness,judge_faithfulness,judge_mean,n_chunks,parse_time_sec,rerank_time_sec,llm_calls,elapsed_sec,fixed_pipeline
2_parser_char,llamaindex_sentence_300_50,,,,,LlamaIndex Sentence 300/50,,,,,0.6721111111111112,,0.6,0.7766666666666666,0.92,,,,,,,4494,3.5411770343780518,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_sentence_500,,,,,Chonkie Sentence 500,,,,,0.6537777777777778,,0.5633333333333334,0.78,0.8966666666666666,,,,,,,2975,4.643444061279297,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_token_256_50,,,,,Chonkie Token 256/50,,,,,0.4192777777777778,,0.35,0.5266666666666666,0.8733333333333333,,,,,,,2377,4.968844890594482,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_recursive_500,,,,,Chonkie Recursive 500,,,,,0.6614444444444445,,0.58,0.7766666666666666,0.8933333333333333,,,,,,,2746,4.762162208557129,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,llamaindex_sentence_500_100,,,,,LlamaIndex Sentence 500/100,,,,,0.6774444444444445,,0.6066666666666667,0.79,0.9066666666666666,,,,,,,2858,5.2054877281188965,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_fast_1500,,,,,Chonkie Fast 1500,,,,,0.6486111111111112,,0.57,0.77,0.9,,,,,,,2082,3.0313968658447266,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_recursive_1000,,,,,Chonkie Recursive 1000,,,,,0.6278888888888888,,0.5366666666666666,0.7666666666666667,0.9066666666666666,,,,,,,1649,3.5055580139160156,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_fast_800,,,,,Chonkie Fast 800,,,,,0.6903333333333335,,0.6066666666666667,0.8066666666666666,0.9066666666666666,,,,,,,3398,3.0259270668029785,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_semantic,chonkie_slumber_gpt54,,,,,"Chonkie Slumber (gpt-5.4 Azure, json_schema + reasoning_effort=none)",,,,,0.7111666666666667,,0.65,0.8033333333333333,0.91,,,,,,,3690,5607.509577989578,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,lc_markdown_header,,,,,LC MarkdownHeaderTextSplitter,,,,,0.6573888888888888,,0.59,0.7633333333333333,0.89,,,,,,,2754,1083.2757041454315,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,kiwi_recursive_500_100,,,,,Kiwi + Recursive 500/100,,,,,0.7025555555555555,,0.6333333333333333,0.8033333333333333,0.91,,,,,,,2704,8.54895806312561,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,lc_semantic_percentile,,,,,LC SemanticChunker (percentile=95),,,,,0.7016111111111113,,0.63,0.7966666666666666,0.9,,,,,,,2026,156.1486840248108,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,llamaindex_semantic,,,,,LlamaIndex SemanticSplitter,,,,,0.7076111111111112,,0.64,0.7966666666666666,0.9033333333333333,,,,,,,2018,213.29511499404907,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,chonkie_neural,,,,,Chonkie NeuralChunker,,,,,0.699388888888889,,0.6333333333333333,0.8,0.9133333333333333,,,,,,,2816,73.98838901519775,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,lc_semantic_stdev,,,,,LC SemanticChunker (stdev=1.5),,,,,0.6945,,0.62,0.7966666666666666,0.9033333333333333,,,,,,,1939,121.54264211654663,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
